timepoint,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
2022-06-02 15:53:49.886903,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.2,500.0,500.0,499.6,494.1,500.6,500.4,496.1
2022-06-02 15:53:50.855433,500.0,500.0,500.1,501.0,500.1,500.0,500.1,500.1,499.6,499.2,499.6,500.0,492.2,500.4,499.4,493.2
2022-06-02 15:53:51.870823,500.1,500.0,500.0,501.0,500.0,500.0,500.1,500.0,500.2,500.4,499.8,500.2,493.9,500.4,499.0,493.8
2022-06-02 15:53:52.854960,500.1,500.0,500.1,501.0,500.1,500.0,500.0,500.0,500.0,500.4,500.0,500.4,495.3,500.2,497.7,494.7
2022-06-02 15:53:53.870345,500.1,500.0,500.0,500.0,500.1,500.1,500.0,500.1,499.8,499.4,500.2,499.8,496.7,500.8,496.7,495.5
2022-06-02 15:53:54.854493,500.0,500.0,500.1,500.0,500.1,500.1,500.0,500.1,500.2,500.4,499.8,500.2,496.7,500.2,496.9,497.1
2022-06-02 15:53:55.838637,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,499.6,500.4,500.2,500.2,497.7,500.6,496.3,497.7
2022-06-02 15:53:56.854017,500.1,500.0,500.0,500.0,500.0,500.0,500.1,500.0,500.0,500.0,499.8,500.0,498.2,500.6,496.1,498.2
2022-06-02 15:53:57.853800,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.6,499.8,500.0,498.6,500.6,497.1,498.4
2022-06-02 15:53:58.869186,500.0,500.0,500.0,499.0,500.0,500.0,500.0,500.0,500.0,499.6,500.4,499.8,498.6,501.0,496.3,499.6
2022-06-02 15:53:59.853345,500.0,500.1,500.0,500.0,500.0,500.0,500.1,500.0,500.4,499.6,499.8,500.2,499.2,501.0,496.1,499.4
2022-06-02 15:54:00.837109,500.0,500.0,500.0,501.0,500.0,500.0,500.0,500.0,500.0,499.6,499.8,500.2,499.6,500.6,495.7,499.8
2022-06-02 15:54:01.852851,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,501.0,499.8,500.2,499.8,500.0,500.4,496.7,499.6
2022-06-02 15:54:02.836994,500.0,500.0,500.0,501.0,500.0,500.0,500.0,500.0,499.2,500.0,499.8,500.4,499.8,500.6,497.5,500.0
